ano,bioma,lat,long,mes,focos
2006,Pará,-5.53,-52.29,OUTUBRO,9346
2006,Pará,-5.53,-52.29,NOVEMBRO,9684
2006,Pará,-5.53,-52.29,DEZEMBRO,5141
2007,Pará,-5.53,-52.29,JANEIRO,817
2007,Pará,-5.53,-52.29,FEVEREIRO,39
2007,Pará,-5.53,-52.29,MARÇO,17
2007,Pará,-5.53,-52.29,ABRIL,17
2007,Pará,-5.53,-52.29,MAIO,90
2007,Pará,-5.53,-52.29,JUNHO,671
2007,Pará,-5.53,-52.29,JULHO,1885
2007,Pará,-5.53,-52.29,AGOSTO,21386
2007,Pará,-5.53,-52.29,SETEMBRO,22055
2007,Pará,-5.53,-52.29,OUTUBRO,8346
2007,Pará,-5.53,-52.29,NOVEMBRO,10114
2007,Pará,-5.53,-52.29,DEZEMBRO,3054
2008,Pará,-5.53,-52.29,JANEIRO,240
2008,Pará,-5.53,-52.29,FEVEREIRO,99
2008,Pará,-5.53,-52.29,MARÇO,11
2008,Pará,-5.53,-52.29,ABRIL,12
2008,Pará,-5.53,-52.29,MAIO,30
2008,Pará,-5.53,-52.29,JUNHO,328
2008,Pará,-5.53,-52.29,JULHO,3020
2008,Pará,-5.53,-52.29,AGOSTO,11035
2008,Pará,-5.53,-52.29,SETEMBRO,9463
2008,Pará,-5.53,-52.29,OUTUBRO,11568
2008,Pará,-5.53,-52.29,NOVEMBRO,9456
2008,Pará,-5.53,-52.29,DEZEMBRO,3187
2009,Pará,-5.53,-52.29,JANEIRO,466
2009,Pará,-5.53,-52.29,FEVEREIRO,26
2009,Pará,-5.53,-52.29,MARÇO,11
2009,Pará,-5.53,-52.29,ABRIL,15
2009,Pará,-5.53,-52.29,MAIO,8
2009,Pará,-5.53,-52.29,JUNHO,91
2009,Pará,-5.53,-52.29,JULHO,703
2009,Pará,-5.53,-52.29,AGOSTO,5386
2009,Pará,-5.53,-52.29,SETEMBRO,8961
2009,Pará,-5.53,-52.29,OUTUBRO,9444
2009,Pará,-5.53,-52.29,NOVEMBRO,12485
2009,Pará,-5.53,-52.29,DEZEMBRO,4068
2010,Pará,-5.53,-52.29,JANEIRO,701
2010,Pará,-5.53,-52.29,FEVEREIRO,147
2010,Pará,-5.53,-52.29,MARÇO,141
2010,Pará,-5.53,-52.29,ABRIL,30
2010,Pará,-5.53,-52.29,MAIO,97
2010,Pará,-5.53,-52.29,JUNHO,441
2010,Pará,-5.53,-52.29,JULHO,2065
2010,Pará,-5.53,-52.29,AGOSTO,21677
2010,Pará,-5.53,-52.29,SETEMBRO,15187
2010,Pará,-5.53,-52.29,OUTUBRO,6435
2010,Pará,-5.53,-52.29,NOVEMBRO,7544
2010,Pará,-5.53,-52.29,DEZEMBRO,2731
2011,Pará,-5.53,-52.29,JANEIRO,219
2011,Pará,-5.53,-52.29,FEVEREIRO,25
2011,Pará,-5.53,-52.29,MARÇO,16
2011,Pará,-5.53,-52.29,ABRIL,10
2011,Pará,-5.53,-52.29,MAIO,21
2011,Pará,-5.53,-52.29,JUNHO,199
2011,Pará,-5.53,-52.29,JULHO,1024
2011,Pará,-5.53,-52.29,AGOSTO,3040
2011,Pará,-5.53,-52.29,SETEMBRO,6821
2011,Pará,-5.53,-52.29,OUTUBRO,4588
2011,Pará,-5.53,-52.29,NOVEMBRO,5760
2011,Pará,-5.53,-52.29,DEZEMBRO,4840
2012,Pará,-5.53,-52.29,JANEIRO,534
2012,Pará,-5.53,-52.29,FEVEREIRO,78
2012,Pará,-5.53,-52.29,MARÇO,16
2012,Pará,-5.53,-52.29,ABRIL,24
2012,Pará,-5.53,-52.29,MAIO,98
